source,attribute,source_attribute_id,count,samples
source_alpha,cost,source_alpha//cost,563,"['65', '75', '46.99', '6.9E1', '102.62']"
source_alpha,currency,source_alpha//currency,548,"['CAD', 'AUD', 'USD', 'SGD', 'GBP']"
source_alpha,details,source_alpha//details,430,"['Use the Lightning Digital AV Adapter with your iPhone, iPad, or iPod with Lightning connector. The Lightning Digital AV Adapter supports mirroring of what is displayed on your device screen - including apps, presentations, websites, slideshows, and more - to your HDMI-equipped TV, display, projector, or other compatible display in up to 1080p HD. It also outputs video content - movies, TV shows, captured video - to your big screen in up to 1080p HD.', 'The Apple lightning digital AV adapter allows you to connect your Apple iPhone, iPad and iPod to your TV, desktop monitor or projector and enjoy your programs, photos, videos and more on the big screen.', 'AN EXTRA LIGHTWEIGHT 11-SPEED CHAIN DESIGNED TO IMPROVE GEAR TRAIN SHIFTINGThe Shimano HG901 is a lightweight 11-speed chain specially designed with asymmetric plate to improve gear train shifting. The hollow pin design further reduces the weight of this chain over the HG701. The HG901 is equivalent to Dura Ace (Road) or XTR (MTB) level in the Shimano groupset line up. This chain is suitabe for both road and MTB use.Model: CN-HG901Compatible for 11-speed drive trains116 links', '120mm, 4-Pin PWM, up to 2000RPM, up to 30dBA, ARGB Fans, 2 Year Warranty', 'Watercooling autonome - PWM - Socket AMD AM4 / AM3(+) / AM2(+) / FM2(+) / FM1 et Intel 2066 / 2011(-V3) / 1366 / 115x / 1200 / 775']"
source_alpha,manufacturer,source_alpha//manufacturer,191,"['Shimano', 'Coolermaster', 'SAMSUNG ELECTRONICS GMBH', 'Epson', 'Kingston']"
source_alpha,product_name,source_alpha//product_name,600,"['Apple Lightning Digital AV Adapter - Lightning to HDMI adapter - HDMI / Lig', 'Apple Lightning Digital AV Adapter', 'Shimano CN-HG901 XTR/Dura Ace Chains - 11 Speed w/Quick Link (Silver)', 'Shimano HG901 Dura Ace XTR 11 Speed Bicycle Bike Chain', 'Cooler Master Masterliquid ML120R RGB All-in-one Watercooler']"
source_beta,amount,source_beta//amount,551,"['99.99', '49.00', '63.99', '29.74', '0.0']"
source_beta,brand_name,source_beta//brand_name,207,"['Apple', 'Cooler Master', 'ASUS', 'ASUS', 'Samsung']"
source_beta,currency_code,source_beta//currency_code,531,"['NZD', 'USD', 'AUD', 'GBP', 'PLN']"
source_beta,description_text,source_beta//description_text,432,"['Use the Lightning Digital AV Adapter with your iPad with Retina display, iPad mini, iPhone 5, and iPod touch (5th generation) with lightning connector. The Lightning Digital AV Adapter supports mirroring of what is displayed on your device screen including apps, presentations, websites, slide shows, and more to your HDMI-equipped TV, display, projector or other compatible display in up to 1080p HD.', 'Use the Lightning Digital AV Adapter with your iPhone, iPad, or iPod with Lightning connector. The Lightning Digital AV Adapter supports mirroring of what is displayed on your device screen — including apps, presentations, websites, slideshows, and more', ""Shimano's top level 11-speed chain for road and MTB riders that want the best drivetrain performance possible.Compatible with both Dura-Ace and XTR groupsets.Includes 1 x quick-link for easy chain removal and installation.Comes with 116 links.Also suitable for use on e-bikes."", 'Super narrow lightweight 11-speed HG-EV symmetrical design chain for smooth shifts and maximum durabilityKey Features:Outer plate design has been developed to reduce the chance of chain suck Sil-Tec surface treatment technology on inner and outer links and rollers that is smooth running and increases durability Zinc-Alloy plated inner and outer links Hollow pin for added weight saving The inner plate has been developed for better contact with gears providing smoother shifting under high load, giving efficient pedalling, increased rigidity and near silent running 5.62 mm chain width, optimised for 11-speed Super Narrow HG-EV drivetrains Average weight 243 grams', 'Cooler Master MasterLiquid ML120R RGB Dual Chamber All In One Water Cooler with 120mm Radiator']"
source_beta,name,source_beta//name,600,"['Lightning to Digital AV Adapter White', 'Apple Lightning to Digital AV Adapter', 'Shimano CN-HG901 CHAIN 11-SPD ROAD/MTB w/QUICK LINK SIL-TEC DURA-ACE / XTR grade', 'Shimano Dura Ace CN-HG901 11 Speed Chain 116 Links', 'Cooler Master MasterLiquid 120R RGB']"
source_gamma,item_title,source_gamma//item_title,600,"['Apple Lightning Digital AV Adaptor', 'Apple Lightning to HDMI Digital AV Adaptor White', 'HG901 11 Speed Chain For Dura Ace 9000/ XTR M9000', '11Shimano - (HG901) XTR / DURA ACE 116 Links', 'Watercooling COOLER MASTER ML120R RGB (addressable)']"
source_gamma,listed_price,source_gamma//listed_price,559,"['75.00', '0.00', '37.99', '205.00', '101.99']"
source_gamma,maker,source_gamma//maker,206,"['Apple', 'COOLER MASTER', 'ASUS', 'Samsung', 'Shimano']"
source_gamma,money,source_gamma//money,540,"['AUD', 'AUD', 'GBP', 'ILS', 'EUR']"
source_gamma,specifications,source_gamma//specifications,427,"['Use the Lightning Digital AV Adapter with your iPhone, iPad or iPod with Lightning connector. The Lightning Digital AV Adapter supports mirroring of what is displayed on your device screen to your HDMI-equipped TV, display, projector or other compatible d', ""Use the Lightning Digital AV Adaptor to mirror whatever's on your iPad with Retina display, iPad mini, iPhone 5, and iPod touch (5th generation) with Lightning connector."", 'The new symmetrical 11-speed Dura-Ace chainHollow pins for low weightPTFE coating for smooth shiftsIncreased durability (vs. CN-7900)', '11XTR -Dura Ace.Sil-Tec.116 ..', 'Watercooling COOLER MASTER ML120R RGB (addressable)']"
