record_id,spec_id,entity_id,source,base_title,base_brand,base_description,base_price,base_priceCurrency,base___title,base___brand,base___model
r0,source_alpha//27282600,1001446,source_alpha,,,,,cad,apple lightning digital av adapter - lightning to hdmi adapter - hdmi / lig,,
r1,source_beta//3658626,1001446,source_beta,,,"use the lightning digital av adapter with your ipad with retina display, ipad mini, iphone 5, and ipod touch (5th generation) with lightning connector. the lightning digital av adapter supports mirroring of what is displayed on your device screen including apps, presentations, websites, slide shows, and more to your hdmi-equipped tv, display, projector or other compatible display in up to 1080p hd.",,nzd,lightning to digital av adapter white,,
r2,source_gamma//45955817,1001446,source_gamma,apple lightning digital av adaptor,,,75.00,,apple lightning digital av adaptor,apple,
r3,source_alpha//58093698,1001446,source_alpha,,,,,aud,apple lightning digital av adapter,,
r4,source_beta//6750484,1001446,source_beta,,apple,"use the lightning digital av adapter with your iphone, ipad, or ipod with lightning connector. the lightning digital av adapter supports mirroring of what is displayed on your device screen — including apps, presentations, websites, slideshows, and more",,usd,apple lightning to digital av adapter,apple,
r5,source_gamma//74435514,1001446,source_gamma,apple lightning to hdmi digital av adaptor white,,,0.00,,apple lightning to hdmi digital av adaptor white,,
r6,source_alpha//1146405,1037461,source_alpha,,,,,usd,shimano cn-hg901 xtr/dura ace chains - 11 speed w/quick link (silver),shimano,
r7,source_beta//13618142,1037461,source_beta,,,shimano's top level 11-speed chain for road and mtb riders that want the best drivetrain performance possible.compatible with both dura-ace and xtr groupsets.includes 1 x quick-link for easy chain removal and installation.comes with 116 links.also suitable for use on e-bikes.,,aud,shimano cn-hg901 chain 11-spd road/mtb w/quick link sil-tec dura-ace / xtr grade,,
r8,source_gamma//26702357,1037461,source_gamma,hg901 11 speed chain for dura ace 9000/ xtr m9000,,,37.99,,hg901 11 speed chain for dura ace 9000/ xtr m9000,,
r9,source_alpha//31860044,1037461,source_alpha,,,,,sgd,shimano hg901 dura ace xtr 11 speed bicycle bike chain,,
r10,source_beta//43106906,1037461,source_beta,,,"super narrow lightweight 11-speed hg-ev symmetrical design chain for smooth shifts and maximum durabilitykey features:outer plate design has been developed to reduce the chance of chain suck sil-tec surface treatment technology on inner and outer links and rollers that is smooth running and increases durability zinc-alloy plated inner and outer links hollow pin for added weight saving the inner plate has been developed for better contact with gears providing smoother shifting under high load, giving efficient pedalling, increased rigidity and near silent running 5.62 mm chain width, optimised for 11-speed super narrow hg-ev drivetrains average weight 243 grams",,gbp,shimano dura ace cn-hg901 11 speed chain 116 links,,
r11,source_gamma//46518287,1037461,source_gamma,11shimano - (hg901) xtr / dura ace 116 links,,,205.00,,11shimano - (hg901) xtr / dura ace 116 links,,
r12,source_alpha//10142290,104011,source_alpha,,,,,gbp,cooler master masterliquid ml120r rgb all-in-one watercooler,coolermaster,
r13,source_beta//11416702,104011,source_beta,,,,,pln,cooler master masterliquid 120r rgb,,
r14,source_gamma//13829035,104011,source_gamma,watercooling cooler master ml120r rgb (addressable),,,101.99,,watercooling cooler master ml120r rgb (addressable),cooler master,
