record_id,spec_id,entity_id,source,llm_title,llm_brand,llm_description,llm_price,llm_priceCurrency,llm___title,llm___brand,llm___model
r0,source_alpha//27282600,1001446,source_alpha,apple lightning digital av adapter - lightning to hdmi adapter - hdmi / lig,,"use the lightning digital av adapter with your iphone, ipad, or ipod with lightning connector. the lightning digital av adapter supports mirroring of what is displayed on your device screen - including apps, presentations, websites, slideshows, and more - to your hdmi-equipped tv, display, projector, or other compatible display in up to 1080p hd. it also outputs video content - movies, tv shows, captured video - to your big screen in up to 1080p hd.",65,cad,apple lightning digital av adapter - lightning to hdmi adapter - hdmi / lig,,
r1,source_beta//3658626,1001446,source_beta,lightning to digital av adapter white,,"use the lightning digital av adapter with your ipad with retina display, ipad mini, iphone 5, and ipod touch (5th generation) with lightning connector. the lightning digital av adapter supports mirroring of what is displayed on your device screen including apps, presentations, websites, slide shows, and more to your hdmi-equipped tv, display, projector or other compatible display in up to 1080p hd.",99.99,nzd,lightning to digital av adapter white,,
r2,source_gamma//45955817,1001446,source_gamma,apple lightning digital av adaptor,apple,"use the lightning digital av adapter with your iphone, ipad or ipod with lightning connector. the lightning digital av adapter supports mirroring of what is displayed on your device screen to your hdmi-equipped tv, display, projector or other compatible d",75.00,aud,apple lightning digital av adaptor,apple,
r3,source_alpha//58093698,1001446,source_alpha,apple lightning digital av adapter,,"the apple lightning digital av adapter allows you to connect your apple iphone, ipad and ipod to your tv, desktop monitor or projector and enjoy your programs, photos, videos and more on the big screen.",75,aud,apple lightning digital av adapter,,
r4,source_beta//6750484,1001446,source_beta,apple lightning to digital av adapter,apple,"use the lightning digital av adapter with your iphone, ipad, or ipod with lightning connector. the lightning digital av adapter supports mirroring of what is displayed on your device screen — including apps, presentations, websites, slideshows, and more",49.00,usd,apple lightning to digital av adapter,apple,
r5,source_gamma//74435514,1001446,source_gamma,apple lightning to hdmi digital av adaptor white,,"use the lightning digital av adaptor to mirror whatever's on your ipad with retina display, ipad mini, iphone 5, and ipod touch (5th generation) with lightning connector.",0.00,aud,apple lightning to hdmi digital av adaptor white,,
r6,source_alpha//1146405,1037461,source_alpha,shimano cn-hg901 xtr/dura ace chains - 11 speed w/quick link (silver),shimano,,46.99,usd,shimano cn-hg901 xtr/dura ace chains - 11 speed w/quick link (silver),shimano,
r7,source_beta//13618142,1037461,source_beta,shimano cn-hg901 chain 11-spd road/mtb w/quick link sil-tec dura-ace / xtr grade,,shimano's top level 11-speed chain for road and mtb riders that want the best drivetrain performance possible.compatible with both dura-ace and xtr groupsets.includes 1 x quick-link for easy chain removal and installation.comes with 116 links.also suitable for use on e-bikes.,63.99,aud,shimano cn-hg901 chain 11-spd road/mtb w/quick link sil-tec dura-ace / xtr grade,,
r8,source_gamma//26702357,1037461,source_gamma,hg901 11 speed chain for dura ace 9000/ xtr m9000,,the new symmetrical 11-speed dura-ace chainhollow pins for low weightptfe coating for smooth shiftsincreased durability (vs. cn-7900),37.99,gbp,hg901 11 speed chain for dura ace 9000/ xtr m9000,,
r9,source_alpha//31860044,1037461,source_alpha,shimano hg901 dura ace xtr 11 speed bicycle bike chain,,an extra lightweight 11-speed chain designed to improve gear train shiftingthe shimano hg901 is a lightweight 11-speed chain specially designed with asymmetric plate to improve gear train shifting. the hollow pin design further reduces the weight of this chain over the hg701. the hg901 is equivalent to dura ace (road) or xtr (mtb) level in the shimano groupset line up. this chain is suitabe for both road and mtb use.model: cn-hg901compatible for 11-speed drive trains116 links,6.9e1,sgd,shimano hg901 dura ace xtr 11 speed bicycle bike chain,,
r10,source_beta//43106906,1037461,source_beta,shimano dura ace cn-hg901 11 speed chain 116 links,,"super narrow lightweight 11-speed hg-ev symmetrical design chain for smooth shifts and maximum durabilitykey features:outer plate design has been developed to reduce the chance of chain suck sil-tec surface treatment technology on inner and outer links and rollers that is smooth running and increases durability zinc-alloy plated inner and outer links hollow pin for added weight saving the inner plate has been developed for better contact with gears providing smoother shifting under high load, giving efficient pedalling, increased rigidity and near silent running 5.62 mm chain width, optimised for 11-speed super narrow hg-ev drivetrains average weight 243 grams",29.74,gbp,shimano dura ace cn-hg901 11 speed chain 116 links,,
r11,source_gamma//46518287,1037461,source_gamma,11shimano - (hg901) xtr / dura ace 116 links,,11xtr -dura ace.sil-tec.116 ..,205.00,ils,11shimano - (hg901) xtr / dura ace 116 links,,
