entity_id,title,title__n_values,title__has_conflict,brand,brand__n_values,brand__has_conflict,description,description__n_values,description__has_conflict,price,price__n_values,price__has_conflict,priceCurrency,priceCurrency__n_values,priceCurrency__has_conflict
1001446,apple lightning digital av adapter - lightning to hdmi adapter - hdmi / lig,6,1,apple,1,0,"use the lightning digital av adapter with your iphone, ipad, or ipod with lightning connector. the lightning digital av adapter supports mirroring of what is displayed on your device screen - including apps, presentations, websites, slideshows, and more - to your hdmi-equipped tv, display, projector, or other compatible display in up to 1080p hd. it also outputs video content - movies, tv shows, captured video - to your big screen in up to 1080p hd.",6,1,99.99,6,1,aud,4,1
1037461,shimano cn-hg901 chain 11-spd road/mtb w/quick link sil-tec dura-ace / xtr grade,6,1,shimano,1,0,"super narrow lightweight 11-speed hg-ev symmetrical design chain for smooth shifts and maximum durabilitykey features:outer plate design has been developed to reduce the chance of chain suck sil-tec surface treatment technology on inner and outer links and rollers that is smooth running and increases durability zinc-alloy plated inner and outer links hollow pin for added weight saving the inner plate has been developed for better contact with gears providing smoother shifting under high load, giving efficient pedalling, increased rigidity and near silent running 5.62 mm chain width, optimised for 11-speed super narrow hg-ev drivetrains average weight 243 grams",5,1,205.00,6,1,gbp,5,1
104011,cm / coolermaster masterliquid ml120r argb cpu cooler (mlx-d12m-a20pc-r1)-wrty w/banleong,6,1,cooler master,2,1,watercooling autonome - pwm - socket amd am4 / am3(+) / am2(+) / fm2(+) / fm1 et intel 2066 / 2011(-v3) / 1366 / 115x / 1200 / 775,5,1,128.00,5,1,gbp,4,1
104347,"amd am4 x570 atx gaming motherboard with pcie 4.0, dual m.2, wi-fi, 12+2 with dr. mos power stage...",6,1,asus,1,0,"features amd am4 socket: ready for 2nd and 3rd gen amd ryzentm processors enhanced power solution: military-grade tuf components, procool socket and digi+ vrm for maximum durability comprehensive cooling: active pch heatsink, vrm heatsink, m.2 heatsink, hybrid fan headers and fan xpert 4 next-gen connectivity: dual pcie 4.0 m.2 and usb 3.2 gen 2 type-a /type-c gaming networking: exclusive realtek® l8200a gigabit ethernet, intel 2x2 802.11ac wi-fi with mu-mimo support, bluetooth 5.0, tuf languard and turbolan technology realtek s1200a codec: features an unprecedented 108db signal-to-noise ratio for the stereo line-out and a 103db snr for the line-in, providing pristine audio quality aura sync rgb: synchronize led lighting with a vast portfolio of compatible pc gear, including addressable rgb strips tuf gaming alliance: asus hardware ecosystem ensures the best compatibility and complementary aesthetics from components to casespecifications cpu: amd am4 socket 2nd and 1st gen amd ryzen™ with radeon™ vega graphics/amd ryzen™ 2nd generation/3rd gen amd ryzen™ processors chipset: amd x570 memory: 3rd gen amd ryzen™ processors 4 x dimm, max. 128gb, ddr4 4400(o.c)/3466(o.c.)/3400(o.c.)/3200(o.c.)/3000(o.c.)/2933(o.c.)/2800(o.c.)/2666/2400/2133 mhz un-buffered memory 2nd gen amd ryzen™ processors 4 x dimm, max. 128gb, ddr4 3600(o.c.)/3466(o.c.)/3400(o.c.)/3200(o.c.)/3000(o.c.)/2933(o.c.)/2800(o.c.)/2666/2400/2133 mhz un-buffered memory 2nd and 1st gen amd ryzen™ with radeon™ vega graphics processors 4 x dimm, max. 128gb, ddr4 3200(o.c.)/3000(o.c.)/2933(o.c.)/2800(o.c.)/2666/2400/2133 mhz un-buffered memory dual channel memory architecture ecc memory (ecc mode) support varies by cpu. * refer to www.asus.com for the memory qvl (qualified vendors lists). graphic: integrated graphics in the 2nd and 1st gen amd ryzen™ with radeon™ vega graphics processors multi-vga output support : hdmi/displayport ports - supports hdmi 1.4b with max. resolution 4096 x 2160 @ 24 hz - supports displayport with max. resolution 4096 x 2160 @ 60 hz multi-gpu support: 3rd and 2nd gen amd ryzen™ processors amd ryzen™ 2nd generation/ryzen™ 1st generation processors supports amd crossfirex™ technology expansion slots: 3rd gen amd ryzen™ processors 1 x pcie 4.0 x16 (x16 mode) 2nd gen amd ryzen™ processors 1 x pcie 3.0 x16 (x16 mode) 2nd and 1st gen amd ryzen™ with radeon™ vega graphics processors 1 x pcie 3.0/2.0 x16 (x8 mode) amd x570 chipset 1 x pcie 4.0 x16 (max at x4 mode) 2 x pcie 4.0 x1 storage: 3rd gen amd ryzen™ processors : 1 x m.2 socket 3, with m key, type 2242/2260/2280/22110(pcie 4.0 x4 and sata modes) storage devices support 2nd gen amd ryzen™ processors : 1 x m.2 socket 3, with m key, type 2242/2260/2280/22110(pcie 3.0 x4 and sata modes) storage devices support amd x570 chipset : 1 x m.2 socket 3, with m key, type 2242/2260/2280/22110(pcie 4.0 x4 and sata modes) storage devices support 8 x sata 6gb/s port(s) support raid 0, 1, 10 lan: realtek® l8200a asus turbo lan utility tuf languard wireless data network: intel® wireless-ac 9260 wi-fi 802.11 a/b/g/n/ac supports dual band frequency 2.4/5 ghz supports mu-mimo supports channel bandwidth: ht20/ht40/ht80/ht160. up to 1.73gbps transfer speed bluetooth: bluetooth® 5.0 audio: realtek® alc s1200a 8-channel high definition audio codec audio feature : - exclusive dts custom for gaming headsets. - audio shielding: ensures precision analog/digital separation and greatly reduced multi-lateral interference - dedicated audio pcb layers: separate layers for left and right channels to guard the quality of the sensitive audio signals - premium japanese audio capacitors: provide warm, natural and immersive sound with exceptional clarity and fidelity - audio cover: effective shielding preserves the integrity of audio signals to ensure best quality. usb ports 3rd and 2nd gen amd ryzen™/2nd and 1st gen amd ryzen™ with radeon™ vega graphics processors : 4 x usb 3.2 gen 1 port(s) (4 at back panel, ) amd x570 chipset : 3 x usb 3.2 gen 2 port(s) (3 at back panel, , 2 x type-a+1 x usb type-ctm) amd x570 chipset : 2 x usb 3.2 gen 1 port(s) (2 at mid-board) amd x570 chipset : 4 x usb 2.0 port(s) (4 at mid-board) special features asus tuf protection - asus safeslot: protect your graphics card investment - asus esd guard: enhanced esd protection - asus overvoltage protection: world-class circuit-protecting power design - asus stainless-steel back i/o: 3x corrosion-resistance for greater durability! - asus digi+ vrm: precision control for stable power - asus languard: protects against lan surges, lightning strikes and static-electricity discharges! aura : - aura lighting control - aura rgb strip headers - addressable gen 2 header asus exclusive features : - ai suite 3 - ai charger asus quiet thermal solution : - stylish design: mos heat-sink with dual thermal pads design, pch fan, pch and m.2 heatsink - asus fan xpert 4 asus ez diy : - asus crashfree bios 3 - asus ez flash 3 - asus uefi bios ez mode asus q-design : - asus q-led (cpu, dram, vga, boot device led) - asus q-slot - asus q-dimm back i/o ports: 1 x ps/2 keyboard/mouse combo port(s) 1 x displayport 1 x hdmi 1 x lan (rj45) port(s) 1 x optical s/pdif out 5 x audio jack(s) 4 x usb 3.2 gen 1 (up to 5gbps) ports 3 x usb 3.2 gen 2 (up to 10gbps) ports (type-a + usb type-ctm) asus wi-fi module (wi-fi 802.11 a/b/g/n/ac and bluetooth v5.0) internal i/o ports: 2 x aura rgb strip header(s) 1 x addressable gen 2 header(s) 2 x usb 2.0 connector(s) support(s) additional 4 usb 2.0 port(s) 1 x m.2 socket 3 with m key, type 2242/2260/2280/22110 storage devices support (sata mode & x4 pcie mode) 1 x m.2 socket 3 with m key, type 2242/2260/2280/22110 storage devices support (sata mode & x4 pcie mode) 1 x spi tpm header 8 x sata 6gb/s connector(s) 1 x cpu fan connector(s) 1 x cpu opt fan connector(s) 3 x chassis fan connector(s) 1 x aio_pump connector 1 x 24-pin eatx power connector(s) 1 x 8-pin atx 12v power connector(s) 1 x 4-pin atx 12v power connector(s) 1 x front panel audio connector(s) (aafp) 1 x system panel(s) 1 x clear cmos jumper(s) 1 x com port header 1 x usb 3.2 gen 1 (up to 5gbps) connector support additional 2 usb ports accessories: user's manual i/o shield 2 x sata 6gb/s cable(s) 1 x m.2 screw package 1 x supporting dvd 1 x asus 2t2r dual band wi-fi moving antennas (wi-fi 802.11a/b/g/n/ac compliant) 1 x tuf gaming sticker 1 x tuf certification card(s) for further specifications click here",3,1,"€ 266,00",6,1,aud,3,1
106914,samsung 970 evo mz-v7e1t0bw - solid state drive - krypterat - 1 tb - inbyggd - m.2 2280 - pci express 3.0 x4 (nvme) - 256 bitars aes - tcg opal encryption 2.0,6,1,samsung,2,1,"ssd (solid state drive), 1 tb, intern, datahastighed: 3400 mbps (læs) / 2500 mbps (skriv), iops: 500000 (læs) / 450000 (skriv), 1gb lpddr4 cache, m.2 2280 (80mm), m.2 2280 (80mm), pci-express 3.0 x4 nvme 1.2 (non-volatile memory express), 256-bit aes kryptering, tcg opal encryption - samsung phoenix controller",4,1,1077.00,5,1,usd,4,1
107440,bicycle-chain-cn-hg95-super-narrow-hg-for-mtb-10-speed-116-links-w/o-end-pin-w/ampoule-type-connect-pin-x1,6,1,shimano,1,0,"shimano chain xt cn-hg95 10-speednew hg-x chains - efficient, quieter, less maintenance with new surface treatment.the all-new, directional 10-speed hg-x chain specifically for mountain bikes is the next evolutionary step in shifting technology. this chain stays smooth, saves weight and improves overall system performance. hg-x chain with directional design: the right side is optimized for switching the front, the left for rear. for use with: xtr / deore xt / slxxt cn-hg95 chain 10-speed 116 links use: mtb series: xt dyna-sys type: hg-x 10-speed super narrow inner plate: zinc-aluminum coated outer plate: zinc-aluminum coated chrome rivets: yes perforated tabs: yes note: the hg-x chain is not compatible with other, designed for road bikes 10-speed circuits.",5,1,59.99,5,1,usd,6,1
1085385,"t596800 original druckerpatrone für plotter stylus pro 7700 / 7900 / 9700 / 9900 350ml, matt schwarz",6,1,epson,1,0,"epson stylus pro 79 + 99 series -350ml – matt black . epson ultrachrome hdr represents our latest generation of pigment ink technology. now utilizing ten colors - including an all-new orange and green - epson ultrachrome hdr ink produces the widest color gamut ever from an epson stylus pro printer. even more remarkable, combining epson ultrachrome hdr ink with our new epson accuphoto™ hdr screening technology dramatically raises the level of print quality and once again sets a new benchmark standard for photographic reproduction. the advanced epson micropiezo tfp print head is capable of producing higher quality prints, at speeds almost twice as fast as our previous generation. and, with our latest ink-repelling coating and auto nozzle verification technologies, clogged nozzles are virtually eliminated.",5,1,314.15,6,1,gbp,4,1
1086172,jabra biz 2300 duo usb ms lync skype for business,6,1,jabra,1,0,"jabra biz2300 2399-823-109 duo usb headset ms:corded stereo headset that provides connectivity certified for skype for businessair shock microphone360 swiveling boom armbiz2300 has high-definition sound with hd voice and get crystal clear, intelligible communicationkevlar® reinforced cordnoise canceling microphonepeakstop technology immediately removes potentially harmful loud soundsclear sound is essential for a good conversation not to mention call efficiency and accuracycontrol unit call-managementjabra software applications, customize and control your audio device settings with jabra’s software applicationsbiz2300 datasheetbiz2300 quick start guide",4,1,168,5,1,usd,3,1
1090670,kingston 256gb data traveler 100 generation 3 usb 3.0(fekete) (dt100g3/256gb),6,1,kingston,1,0,"kingston datatraveler 100 g3 256 gb, usb 3.0, black",3,1,1124.74,6,1,eur,4,1
1116086,aaa replica omega seamaster diver 300m master co-axial watch 210.22.42.20.01.002,6,1,omega,1,0,"omega seamaster diver 300m 210.22.42.20.01.002 reviewthe omega seamaster diver seems to be the watch that will take the omega collections to greater limelight of luxurious timepieces. the omega seamaster diver celebrated its 30th anniversary in 2018. celebrations were marked by the release of more improved models of the watch. the omega seamaster diver 300m 210.22.42.20.01.002 is one of the upgraded versions of the model that has been released so far. the case of the omega seamaster diver 300m 210.22.42.20.01.002 has been increased by 1mm compared to its previous model. the model is encased in a 42 mm of the legendary omega sedna rose gold. this is combined with stainless steel which surrounds the black dial which is a laser-engraved wave. the case is water resistance up to 300 meters / 1000 feet (30bars). on the sides of the case, you will notice that the watch is equipped with scratch-resistant sapphire crystals.the anti-glare coated sapphire crystals are domed in shape. this is a very important feature for clearer legibility, due to the delicate coating the watch requires attention. the case looks very elegant with the satin-brushed finish. the thickness of the omega seamaster diver 300m 210.22.42.20.01.002 model is 13.5mm. the watch has a crown protector that is polished, and carefully tucked in between is a gold crown. another notable feature is the satin-brushed finish found on the sedna gold bezel, it creates a wonderful contrast to the glossy polish done on the ceramic. this model of omega seamaster diver watch has a bi-color concept. the concept has been smartly expressed by omega in several accents. all these accents have been created by the sedna™ gold (18k pink gold alloy) which is patented by omega. the alloy brings sportiness and more heat to the dial of the watch. in addition to that, the alloy has been used to fill the symbols which are located on the black ceramic bezel. the watch is manually controlled by the helium release valve located at the 10 o’clock sign. the helium release valve happens to be a signature feature of the omega seamaster diver 300m. however, there are some watches in the market which have the same water resistance level of 30 bars but don’t have the helium release valve. omega has maintained this feature in this model since it was present in the very first model of the omega seamaster diver 300m. the other additional feature of the helium release valve is that it can be opened and closed safely underwater.the dial has the legendary wave’s design which was seen in the original model but got lost in the previous updates of the model. the waves are a little different than the ones on the first model of omega seamaster diver. with this seamaster diver 300m model, the waves are laser engraved and are located on the polished ceramic dials. the dial has been made of polished ceramic and comes in a variety of colors: pvd chrome color, black or blue. at 6 o’clock you find the date aperture instead of 3 o’clock. the black date disc has a white print. close to the aperture you will find a smaller hour index. the lume color on the dial is pretty amazing. the hour indices are blue, the bezel is green, and so is the minute hand. the watch is powered by omega’s caliber 8800 internal movement. this is the very first-time omega is using an in house movement, all the previous models used the caliber 2500. the movement is certified as a master chronometer and very solid. the movement guarantees high accuracy ranging from +0 to +5 seconds daily. the timepiece comes both in rubbers tarps and steel bracelets. the ones with steel bracelets are more costly than the rubber strapped ones. the 210.22.42.20.01.002 model has rubbers straps. the rubber straps are much softer and supple compared to the previous rubber straps used by omega. instead of a folding buckle, omega included a normal buckle in this watch model. the buckle has an amazing finish and is signed omega. unlike the 1990s models’ rubber straps, these straps lack the double ridged feature. the watch has the following specifications:➢ stainless steel and sedna (18-carat rose gold) case.➢ the case has a diameter of 42mm, and thickness: 13.5mm➢ sapphire crystals➢ sapphire case back➢ 300 meters of water resistance ➢ rubber strap with a stainless steel buckle.the omega 210.22.42.20.01.002 model is a wonderful piece that can be worn during both official and casual events. visit exquisite timepieces to get your omega seamaster diver 300m 210.22.42.20.01.002 at an affordable price. the watch retails at around $5000. in addition to that, you can find reviews of other luxurious watches in the market. they also have the latest luxury watch arrivals and are the leading provider of luxury timepieces in the market.",4,1,6800,4,1,usd,3,1
