record_id_1,record_id_2
r1379,r591
r476,r556
r1728,r1729
r1066,r723
r308,r811
r205,r80
r1058,r405
r1661,r702
r1064,r585
r1652,r639
r1688,r949
r1051,r429
r1008,r61
r400,r663
r376,r821
r430,r462
r1112,r666
r223,r441
r1485,r1796
r19,r614
r1379,r390
r1150,r1271
r1611,r77
r1695,r191
r774,r776
r1679,r673
r1639,r617
r1262,r775
r270,r907
r1335,r1792
r1324,r354
r123,r205
r123,r1552
r595,r599
r542,r543
r192,r985
r1209,r1321
r1009,r1011
r1081,r1541
r1240,r1287
r1789,r435
r1415,r1479
r1272,r5
r1611,r7
r1132,r999
r104,r1296
r1208,r253
r1614,r623
r105,r110
r1239,r607
r1093,r1253
r1182,r1640
r1281,r1457
r200,r919
r658,r789
r251,r796
r1178,r540
r749,r784
r363,r661
r1179,r140
r397,r431
r1159,r62
r1301,r1779
r640,r702
r5,r841
r1778,r949
r1551,r808
r1527,r355
r1168,r636
r1118,r1722
r1375,r68
r1075,r1077
r1722,r241
r126,r707
r179,r6
r23,r249
r1410,r1411
r403,r405
r420,r421
r1137,r1310
r1278,r488
r1330,r393
r1368,r496
r1513,r1731
r1053,r382
r1388,r21
r1543,r1695
r1066,r65
r1397,r1687
r178,r8
r861,r932
r110,r996
r172,r347
r1761,r61
r116,r118
r437,r544
r1529,r31
r276,r34
r247,r831
r1017,r1018
r1376,r571
r147,r1682
r1658,r703
r1221,r199
r1056,r1336
r1316,r1590
r261,r5
r828,r832
r1485,r1501
r600,r757
r1227,r1513
r287,r444
r565,r567
r1766,r871
r101,r280
r358,r65
r1690,r905
r1762,r722
r1400,r1629
r1321,r1368
r1242,r1433
r1642,r795
r1060,r545
r116,r802
r1709,r21
r1565,r310
r640,r704
r1375,r392
r1043,r1069
r1368,r1688
r467,r663
r309,r326
r1328,r394
r1563,r608
r1281,r1282
r192,r197
r1053,r38
r1760,r355
r1731,r641
r1271,r372
r1157,r46
r1650,r380
r22,r810
r1441,r623
r467,r664
r1452,r1765
r939,r940
r320,r43
r1642,r815
r1788,r436
r1053,r1658
r813,r883
r1249,r569
r1248,r157
r278,r882
r765,r940
r1252,r746
r145,r1683
r1358,r1593
r209,r235
r137,r66
r207,r515
r1759,r1760
r1405,r1493
r469,r834
r1404,r838
r207,r238
r103,r1208
r327,r328
r1612,r63
r1117,r330
r112,r147
r222,r866
r1366,r587
r1462,r1698
r1027,r1127
r1536,r956
r1633,r440
r615,r872
r1183,r278
r299,r720
r1272,r827
r1226,r399
r1523,r1698
r123,r1495
r1112,r669
r681,r737
r1279,r831
r1526,r355
r55,r57
r1488,r773
r245,r999
r1128,r581
r681,r799
r192,r218
r1399,r1446
r31,r582
r1476,r191
r1346,r538
r1534,r1671
r1104,r1472
r1163,r724
r1415,r1696
r309,r812
r1092,r680
r203,r889
r1622,r432
r1469,r736
r796,r797
r378,r664
r105,r253
r1083,r628
r944,r955
r1220,r1431
r1168,r911
r168,r346
r120,r1495
r1336,r1620
r1102,r1719
r1610,r354
r870,r871
r712,r713
r1289,r1563
r628,r861
r161,r580
r280,r618
r1201,r315
r987,r989
r858,r959
r1450,r560
r204,r346
r1742,r979
r1347,r745
r1477,r209
r1270,r204
r1137,r1382
r1422,r1690
r630,r76
r1456,r794
r33,r725
r1081,r1082
r49,r567
r161,r567
r530,r531
r1210,r1680
r1514,r40
r1479,r1481
r390,r575
r1191,r1714
r486,r491
r1277,r135
r18,r814
r1057,r407
r1333,r1347
r228,r877
r591,r592
r1234,r1638
r1119,r1427
r226,r440
r1221,r1429
r1393,r950
r1184,r246
r100,r1235
r341,r957
r890,r892
r1023,r1075
r584,r585
r1635,r1753
r1398,r235
r1601,r489
r652,r995
r1743,r1745
r1372,r1727
r198,r199
r1567,r212
r1791,r1792
r1542,r1664
r1207,r333
r20,r88
r1518,r935
r1731,r379
r1020,r1717
r1488,r1790
r1010,r724
r1475,r634
r1239,r1241
r1001,r1393
r1661,r663
r34,r357
r1072,r1346
r1196,r445
r1392,r496
r111,r1370
r1315,r1593
r1058,r1099
r1661,r664
r123,r1630
r1337,r1488
r1375,r896
r590,r907
r1021,r1716
r47,r498
r1669,r273
r395,r468
r919,r933
r1158,r35
r23,r814
r1405,r1506
r1005,r610
r537,r784
r637,r909
r442,r443
r1779,r949
r1168,r431
r107,r949
r1085,r12
r1218,r935
r1531,r969
r1388,r813
r1280,r276
r536,r747
r1329,r682
r109,r18
r1399,r207
r1280,r792
r613,r813
r474,r475
r1368,r242
r306,r311
r228,r491
r640,r663
r116,r1456
r1629,r806
r1533,r1693
r1587,r1589
r131,r397
r1798,r27
r1392,r1688
r141,r544
r1074,r920
r1620,r434
r104,r496
r1730,r703
r1053,r397
r143,r436
r1007,r810
r149,r1723
r451,r698
r1266,r548
r1634,r441
r1329,r1663
r1496,r204
r174,r631
r1496,r82
r33,r635
r141,r146
r1293,r1523
r1213,r1214
r1426,r674
r104,r1129
r1197,r404
r1719,r932
r1372,r1779
r1328,r831
r328,r497
r1176,r139
r292,r897
r199,r918
r230,r490
r514,r971
r1657,r908
r1036,r1085
r1067,r33
r1162,r1527
r1249,r782
r299,r409
r1056,r545
r107,r1770
r1727,r240
r1798,r309
r1252,r966
r1722,r952
r1724,r1780
r1225,r126
r744,r968
r787,r788
r1444,r797
r1196,r447
r1757,r225
r1324,r144
r102,r1771
r306,r607
r146,r949
r1322,r493
r1063,r587
r409,r720
r1454,r1641
r113,r493
r1210,r1320
r121,r1550
r1163,r582
r1582,r236
r1089,r878
r209,r78
r1544,r189
r1345,r564
r1061,r672
r1758,r295
r117,r682
r1001,r243
r1776,r953
r1165,r662
r796,r831
r506,r771
r1208,r492
r1225,r464
r1366,r1763
r324,r985
r1282,r1469
r1246,r1428
r1677,r509
r1260,r5
r1346,r52
r1514,r640
r569,r970
r1006,r219
r1141,r1728
r1008,r409
r394,r570
r1725,r1727
r1664,r448
r1097,r1098
r382,r401
r1004,r1564
r1070,r1251
r1022,r1717
r70,r827
r1050,r383
r1574,r1719
r1075,r312
r35,r63
r1539,r958
r435,r436
r158,r159
r1457,r1641
r47,r649
r1632,r865
r20,r448
r799,r842
r295,r35
r185,r861
r885,r886
r1399,r209
r1682,r493
r1715,r952
r1485,r418
r627,r935
r155,r1597
r394,r395
r1742,r877
r1608,r1609
r1010,r582
r1341,r1676
r1007,r325
r1137,r1385
r1401,r1499
r1652,r1659
r1344,r971
r105,r1322
r1079,r1719
r1518,r919
r1039,r1530
r107,r1209
r1773,r701
r565,r810
r1431,r1720
r1454,r616
r1615,r1616
r680,r801
r1423,r540
r169,r189
r1262,r774
r368,r927
r137,r1377
r1009,r1067
