record_id,cluster_id
r0,c0
r1,c0
r2,c0
r3,c0
r4,c0
r5,c0
r6,c1
r7,c2
r8,c3
r9,c3
r10,c3
r11,c4
r12,c5
r13,c5
r14,c5
r15,c5
r16,c5
r17,c5
r18,c6
r19,c6
r20,c6
r21,c6
r22,c6
r23,c6
r24,c7
r25,c7
r26,c7
r27,c7
r28,c7
r29,c7
r30,c1
r31,c1
r32,c1
r33,c1
r34,c1
r35,c1
r36,c8
r37,c9
r38,c9
r39,c9
r40,c9
r41,c9
r42,c10
r43,c10
r44,c10
r45,c10
r46,c10
r47,c10
r48,c11
r49,c7
r50,c7
r51,c7
r52,c7
r53,c7
r54,c12
r55,c13
r56,c13
r57,c14
r58,c12
r59,c12
r60,c1
r61,c1
r62,c15
r63,c1
r64,c1
r65,c1
r66,c0
r67,c0
r68,c0
r69,c0
r70,c0
r71,c0
r72,c1
r73,c1
r74,c1
r75,c1
r76,c1
r77,c1
r78,c7
r79,c7
r80,c7
r81,c7
r82,c7
r83,c7
r84,c16
r85,c16
r86,c16
r87,c16
r88,c16
r89,c16
r90,c7
r91,c7
r92,c7
r93,c7
r94,c7
r95,c7
r96,c6
r97,c6
r98,c6
r99,c6
r100,c6
r101,c6
r102,c17
r103,c17
r104,c17
r105,c17
r106,c17
r107,c17
r108,c17
r109,c17
r110,c17
r111,c17
r112,c17
r113,c17
r114,c18
r115,c19
r116,c7
r117,c7
r118,c7
r119,c20
r120,c7
r121,c7
r122,c7
r123,c7
r124,c7
r125,c7
r126,c9
r127,c9
r128,c9
r129,c9
r130,c9
r131,c9
r132,c0
r133,c0
r134,c0
r135,c0
r136,c0
r137,c0
r138,c21
r139,c22
r140,c23
r141,c17
r142,c24
r143,c17
r144,c17
r145,c17
r146,c17
r147,c17
r148,c17
r149,c17
r150,c6
r151,c6
r152,c6
r153,c6
r154,c6
r155,c6
r156,c7
r157,c7
r158,c7
r159,c7
r160,c7
r161,c7
r162,c9
r163,c9
r164,c9
r165,c9
r166,c9
r167,c9
r168,c7
r169,c7
r170,c7
r171,c7
r172,c7
r173,c7
r174,c1
r175,c1
r176,c1
r177,c25
r178,c1
r179,c1
r180,c26
r181,c26
r182,c26
r183,c26
r184,c26
r185,c26
r186,c7
r187,c7
r188,c7
r189,c7
r190,c7
r191,c7
r192,c27
r193,c27
r194,c27
r195,c27
r196,c27
r197,c27
r198,c9
r199,c28
r200,c29
r201,c9
r202,c9
r203,c9
r204,c7
r205,c7
r206,c7
r207,c7
r208,c7
r209,c7
r210,c30
r211,c30
r212,c30
r213,c30
r214,c30
r215,c30
r216,c27
r217,c27
r218,c27
r219,c27
r220,c27
r221,c27
r222,c31
r223,c31
r224,c31
r225,c31
r226,c31
r227,c31
r228,c32
r229,c32
r230,c32
r231,c32
r232,c32
r233,c32
r234,c7
r235,c7
r236,c33
r237,c7
r238,c7
r239,c7
r240,c17
r241,c34
r242,c17
r243,c17
r244,c17
r245,c17
r246,c6
r247,c35
r248,c6
r249,c6
r250,c6
r251,c6
r252,c36
r253,c17
r254,c37
r255,c17
r256,c17
r257,c17
r258,c7
r259,c7
r260,c7
r261,c7
r262,c7
r263,c38
r264,c39
r265,c39
r266,c39
r267,c39
r268,c39
r269,c39
r270,c20
r271,c20
r272,c20
r273,c20
r274,c20
r275,c20
r276,c6
r277,c40
r278,c6
r279,c6
r280,c6
r281,c6
r282,c7
r283,c41
r284,c7
r285,c7
r286,c7
r287,c7
r288,c42
r289,c42
r290,c42
r291,c42
r292,c42
r293,c42
r294,c1
r295,c1
r296,c1
r297,c1
r298,c1
r299,c1
r300,c43
r301,c44
r302,c45
r303,c16
r304,c16
r305,c16
r306,c27
r307,c27
r308,c27
r309,c27
r310,c27
r311,c27
r312,c9
r313,c9
r314,c9
r315,c9
r316,c9
r317,c9
r318,c10
r319,c10
r320,c10
r321,c10
r322,c10
r323,c10
r324,c27
r325,c27
r326,c27
r327,c27
r328,c27
r329,c27
r330,c17
r331,c46
r332,c47
r333,c17
r334,c17
r335,c17
r336,c9
r337,c9
r338,c9
r339,c9
r340,c9
r341,c9
r342,c7
r343,c7
r344,c7
r345,c48
r346,c7
r347,c7
r348,c9
r349,c9
r350,c9
r351,c9
r352,c9
r353,c9
r354,c1
r355,c1
r356,c1
r357,c1
r358,c1
r359,c1
r360,c49
r361,c9
r362,c9
r363,c9
r364,c9
r365,c9
r366,c50
r367,c50
r368,c50
r369,c50
r370,c50
r371,c50
r372,c51
r373,c52
r374,c53
r375,c54
r376,c55
r377,c7
r378,c9
r379,c9
r380,c9
r381,c9
r382,c9
r383,c9
r384,c56
r385,c56
r386,c56
r387,c56
r388,c56
r389,c56
r390,c0
r391,c0
r392,c0
r393,c0
r394,c0
r395,c57
r396,c9
r397,c9
r398,c9
r399,c9
r400,c9
r401,c9
r402,c7
r403,c7
r404,c7
r405,c7
r406,c7
r407,c7
r408,c1
r409,c1
r410,c1
r411,c1
r412,c1
r413,c1
r414,c7
r415,c7
r416,c7
r417,c7
r418,c7
r419,c7
r420,c58
r421,c58
r422,c58
r423,c58
r424,c58
r425,c58
r426,c9
r427,c9
r428,c59
r429,c9
r430,c9
r431,c60
r432,c17
r433,c17
r434,c17
r435,c17
r436,c17
r437,c17
r438,c31
r439,c31
r440,c31
r441,c31
r442,c31
r443,c31
r444,c61
r445,c61
r446,c61
r447,c62
r448,c61
r449,c61
r450,c63
r451,c63
r452,c63
r453,c63
r454,c63
r455,c64
r456,c65
r457,c9
r458,c9
r459,c9
r460,c9
r461,c66
r462,c9
r463,c9
r464,c67
r465,c9
r466,c9
r467,c9
r468,c16
r469,c16
r470,c16
r471,c16
r472,c16
r473,c16
r474,c39
r475,c39
r476,c39
r477,c39
