cluster_id,pipeline,n_records,record_ids,title,brand,description,price,priceCurrency
c0,baseline,47,"[""r0"", ""r1"", ""r2"", ""r3"", ""r4"", ""r5"", ""r66"", ""r67"", ""r68"", ""r69"", ""r70"", ""r71"", ""r132"", ""r133"", ""r134"", ""r135"", ""r136"", ""r137"", ""r390"", ""r391"", ""r392"", ""r393"", ""r394"", ""r570"", ""r571"", ""r572"", ""r573"", ""r574"", ""r575"", ""r822"", ""r823"", ""r824"", ""r825"", ""r826"", ""r827"", ""r1272"", ""r1273"", ""r1274"", ""r1275"", ""r1276"", ""r1277"", ""r1374"", ""r1375"", ""r1376"", ""r1377"", ""r1378"", ""r1379""]",new genuine apple macbook pro a1278 a1280 magsafe 1 ac adapter charger l tip 60w,apple,"summary:- designed by apple- automatically on, automatically connected- easy setup for all your apple devices6- quick access to siri by saying “hey siri” or setting up double-tap- double-tap to play or skip forward- charges quickly in the case- case can be charged with a lightning connector- rich, high-quality audio and voice- seamless switching between devicesmore magical than ever.the new airpods deliver the wireless headphone experience, reimagined. just pull them out of the charging case and they’re ready to use with your iphone, apple watch, ipad, or mac.after a simple one-tap setup, airpods work like magic. they’re automatically on and always connected. airpods can even sense when they’re in your ears and pause when you take them out.to adjust the volume, change the song, make a call, or even get directions, simply say “hey siri” and make your request. you have the freedom to wear one or both airpods, and you can play or skip forward with a double-tap when listening to music or podcasts.airpods deliver 5 hours of listening time1 and 3 hours of talk time on a single charge.2 and they’re made to keep up with you, thanks to a charging case that holds multiple charges for more than 24 hours of listening time.3 need a quick charge? just 15 minutes in the case gives you 3 hours of listening time4 or 2 hours of talk time.5powered by the all-new apple h1 headphone chip, airpods use optical sensors and motion accelerometers to detect when they’re in your ears. whether you’re using both airpods or just one, the h1 chip automatically routes the audio and engages the microphone. and when you’re on a call or talking to siri, an additional speech-detecting accelerometer works with beamforming microphones to filter out external noise and focus on the sound of your voice.what's in the box: - airpods- charging case- lightning to usb cable",159.00,usd
c1,baseline,119,"[""r6"", ""r8"", ""r9"", ""r10"", ""r11"", ""r30"", ""r31"", ""r32"", ""r33"", ""r34"", ""r35"", ""r60"", ""r61"", ""r63"", ""r64"", ""r65"", ""r72"", ""r73"", ""r74"", ""r75"", ""r76"", ""r77"", ""r174"", ""r175"", ""r176"", ""r178"", ""r179"", ""r294"", ""r295"", ""r296"", ""r297"", ""r298"", ""r299"", ""r354"", ""r355"", ""r356"", ""r357"", ""r358"", ""r359"", ""r408"", ""r409"", ""r410"", ""r411"", ""r412"", ""r413"", ""r516"", ""r517"", ""r518"", ""r519"", ""r520"", ""r521"", ""r582"", ""r583"", ""r584"", ""r585"", ""r586"", ""r587"", ""r630"", ""r631"", ""r632"", ""r633"", ""r634"", ""r720"", ""r721"", ""r722"", ""r723"", ""r724"", ""r725"", ""r960"", ""r961"", ""r963"", ""r964"", ""r965"", ""r1008"", ""r1009"", ""r1010"", ""r1011"", ""r1012"", ""r1013"", ""r1062"", ""r1063"", ""r1064"", ""r1066"", ""r1067"", ""r1158"", ""r1159"", ""r1160"", ""r1161"", ""r1162"", ""r1163"", ""r1254"", ""r1255"", ""r1257"", ""r1258"", ""r1259"", ""r1362"", ""r1363"", ""r1364"", ""r1365"", ""r1366"", ""r1367"", ""r1470"", ""r1471"", ""r1472"", ""r1473"", ""r1474"", ""r1475"", ""r1608"", ""r1609"", ""r1610"", ""r1611"", ""r1612"", ""r1613"", ""r1758"", ""r1759"", ""r1760"", ""r1761"", ""r1762"", ""r1763""]",sram disc brake pad set organic with steel back fits hydraulic road disc level ultimate and level tlm,shimano,"the bb-mt800-pa bottom bracket by shimano - pressfit for xt and slx cranksthe shimano bb-mt800-pa is a bottom bracket for press-fit mounting in frames with 89 to 92 mm shell widths and 41 mm bottom bracket diameter. it is recommended for xt, slx and groupless hollowtech ii cranks with 24 mm axle diameters. the bearing cups are made of resin.specificationsapplication: cross country, all mountain, city & touringtype: pressfit bb92shell diameter: 41 mmshell width: 89.5-92 mmaxle diameter: 24 mm (hollowtech ii)technical information:bearings: steelbottom bracket cup material: resinbottom bracket centre tube material: resinfeatures:- recommended for xt fc-m8100, fc-m8120, fc-m8130, fc-m8000, fc-t8000, slx fc-m7100, fc-m7120, fc-m7130, fc-m7000, fc-mt700, fc-mt610, fc-mt600technology:hollowtech iithe externally mounted bottom bracket offers better weight distribution and stability for more efficient power transmission. the diameter of the bottom bracket axle and the bearing (24 mm) was an important factor in the development, as the bottom bracket axle has a significant impact on stiffness, stability, weight and rotational efficiency.manufacturer part number:i-bbmt800pacontents:- 1 x shimano bb-mt800-pa right bearing cup, incl. bearings- 1 x shimano bb-mt800-pa left bearing cup, incl. bearings- 1 x shimano centre tube- 1 x 2.5 mm spacersweight: 68.2gfaqwhat type is shimano xt press fit mtb bottom bracket? the shimano xt press fit mtb bottom bracket is a press-fit type.what width shell is suitable for the shimano xt press fit mtb bottom bracket?the shimano xt press fit mtb bottom bracket is available in 89.5 mm and 92mm shell width standard.what diameter crank diameter is shimano xt press fit mtb bottom bracket compatible with?the shimano xt press fit mtb bottom bracket is compatible with 24 mm crank diameter standard.",1.4999e2,usd
c10,baseline,1,"[""r57""]",,,,,gbp
c100,baseline,1,"[""r1096""]",,,"mpn: sdsqxa1-256g-gn6mavendor:sandisksandisk extreme microsdxc,v30,u3,c10,a2,uhs-i,160mb/s r,90mb/sw,4x6,sdadaptor,lifetimelimitedsandisk extreme microsdxc,u3,c10,a2,uhs-i,160mb/s r,90mb/sw,4x6,sdadaptor,lifetimelimited",,aud
c101,baseline,1,"[""r1121""]",es-16-150wubiquiti 16 port poe edgeswitch 150 watt,,,1.98,
c102,baseline,1,"[""r1130""]",tarjeta de red pci express x1 inalambrica tp-link wireless 802.11n/g/b150mbps antena desmonta 2dbi,,,189.1728,
c103,baseline,1,"[""r1132""]",,,tp-link 150mbit-wlan-lite -n-pci express x1 adapter,,sek
c104,baseline,1,"[""r1133""]","adaptador wifi n pci express 150 mbps 20dbm, 802.11b/g/n chipset atheros, 1 antena 2 dbi desmontable.",,,54,
c105,baseline,1,"[""r1167""]",,,,,gbp
c106,baseline,1,"[""r1175""]",32oz (946ml) wide mouth 2.0,,,79.99,
c107,baseline,1,"[""r1202""]",toner brother tn-241mhl-3140/50/70,,,69.8,
c108,baseline,1,"[""r1222""]",,,,,
c109,baseline,1,"[""r1263""]",,,,,eur
c11,baseline,1,"[""r62""]","bicycle chain, cn-hg601-11, for 11-speed (road/mtb/e-bike compatible), 116 links(w/quick link, sm-cn900-11), ind.pack",,,44.99,
c110,baseline,1,"[""r1286""]",alcatel-lucent enterprise - 10g-sr sfp+ transceiver,,,3332.00,
c111,baseline,1,"[""r1287""]",,,,,eur
c112,baseline,1,"[""r1301""]",d-link/net/24x1gb poe switch /+ 4 sfp/l2/rm,,,7689.19,
c113,baseline,6,"[""r1302"", ""r1303"", ""r1304"", ""r1305"", ""r1306"", ""r1307""]","lexmark x945x2 x945x2kg black compatible high yield toner cartridge x940e, x945e",lexmark,lexmark x940/x945 compatible toner black,1.7588e2,aud
c114,baseline,1,"[""r1331""]","sandisk extremepro sd 32gb,uhs-ii, read up to 300mb/s , write up to 260mb/s , for super-fast continuous burst mode shots, maximum post-production workflow efficiency, and high-performance video recording",,,1.3494e2,
c115,baseline,6,"[""r1380"", ""r1381"", ""r1382"", ""r1383"", ""r1384"", ""r1385""]",veste new era nfl new england patriots bomber,,,1.199e2,ron
c116,baseline,1,"[""r1407""]",,,,,nzd
c117,baseline,1,"[""r1427""]","ubiquiti uap-ac-pro-5 wi-fi, 802.11 a/b/g/n/ac, 2.4/5.0 ghz, 2, web-based management, 1.3 gbit/s, power over ethernet (poe), 10,",,,2984.79,
c118,baseline,1,"[""r1428""]",,,,,eur
c119,baseline,2,"[""r1429"", ""r1430""]",canon ink cart. pg-40/cl-41 multipack blistered per mf210/220//mp150/160/170/180/ 450//ip1600/1700/1800/2200// jx200/500 black/colour (0615b036),,save on ink and enjoy the convenience of a multipack that includes a black and colour fine cartridge,35.00,sek
