cluster_id,pipeline,n_records,record_ids,title,brand,description,price,priceCurrency,used_llm_fusion
c0,llm_assisted,46,"[""r0"", ""r1"", ""r2"", ""r3"", ""r4"", ""r5"", ""r66"", ""r67"", ""r68"", ""r69"", ""r70"", ""r71"", ""r132"", ""r133"", ""r134"", ""r135"", ""r136"", ""r137"", ""r390"", ""r391"", ""r392"", ""r393"", ""r394"", ""r570"", ""r571"", ""r572"", ""r573"", ""r574"", ""r575"", ""r822"", ""r823"", ""r824"", ""r825"", ""r826"", ""r827"", ""r1272"", ""r1273"", ""r1275"", ""r1276"", ""r1277"", ""r1374"", ""r1375"", ""r1376"", ""r1377"", ""r1378"", ""r1379""]",apple lightning digital av adapter - lightning to hdmi adapter - hdmi / lig,apple,"use the lightning digital av adapter with your iphone, ipad or ipod with lightning connector. the lightning digital av adapter supports mirroring of what is displayed on your device screen to your hdmi-equipped tv, display, projector or other compatible d",75.00,aud,1
c1,llm_assisted,111,"[""r6"", ""r30"", ""r31"", ""r32"", ""r33"", ""r34"", ""r35"", ""r60"", ""r61"", ""r63"", ""r64"", ""r65"", ""r72"", ""r73"", ""r74"", ""r75"", ""r76"", ""r77"", ""r174"", ""r175"", ""r176"", ""r178"", ""r179"", ""r294"", ""r295"", ""r296"", ""r297"", ""r298"", ""r299"", ""r354"", ""r355"", ""r356"", ""r357"", ""r358"", ""r359"", ""r408"", ""r409"", ""r410"", ""r411"", ""r412"", ""r413"", ""r517"", ""r518"", ""r520"", ""r521"", ""r582"", ""r583"", ""r584"", ""r585"", ""r586"", ""r587"", ""r630"", ""r631"", ""r632"", ""r633"", ""r634"", ""r720"", ""r721"", ""r722"", ""r723"", ""r724"", ""r960"", ""r961"", ""r963"", ""r964"", ""r965"", ""r1008"", ""r1009"", ""r1010"", ""r1011"", ""r1012"", ""r1013"", ""r1062"", ""r1063"", ""r1064"", ""r1066"", ""r1067"", ""r1158"", ""r1159"", ""r1160"", ""r1161"", ""r1162"", ""r1163"", ""r1254"", ""r1255"", ""r1257"", ""r1258"", ""r1259"", ""r1362"", ""r1364"", ""r1365"", ""r1366"", ""r1367"", ""r1470"", ""r1471"", ""r1472"", ""r1473"", ""r1474"", ""r1475"", ""r1608"", ""r1609"", ""r1610"", ""r1611"", ""r1612"", ""r1613"", ""r1758"", ""r1759"", ""r1760"", ""r1761"", ""r1762"", ""r1763""]",shimano cn-hg95 10-speed hg-x chain - 116 links,shimano,"the bb-mt800-pa bottom bracket by shimano - pressfit for xt and slx cranksthe shimano bb-mt800-pa is a bottom bracket for press-fit mounting in frames with 89 to 92 mm shell widths and 41 mm bottom bracket diameter. it is recommended for xt, slx and groupless hollowtech ii cranks with 24 mm axle diameters. the bearing cups are made of resin.specificationsapplication: cross country, all mountain, city & touringtype: pressfit bb92shell diameter: 41 mmshell width: 89.5-92 mmaxle diameter: 24 mm (hollowtech ii)technical information:bearings: steelbottom bracket cup material: resinbottom bracket centre tube material: resinfeatures:- recommended for xt fc-m8100, fc-m8120, fc-m8130, fc-m8000, fc-t8000, slx fc-m7100, fc-m7120, fc-m7130, fc-m7000, fc-mt700, fc-mt610, fc-mt600technology:hollowtech iithe externally mounted bottom bracket offers better weight distribution and stability for more efficient power transmission. the diameter of the bottom bracket axle and the bearing (24 mm) was an important factor in the development, as the bottom bracket axle has a significant impact on stiffness, stability, weight and rotational efficiency.manufacturer part number:i-bbmt800pacontents:- 1 x shimano bb-mt800-pa right bearing cup, incl. bearings- 1 x shimano bb-mt800-pa left bearing cup, incl. bearings- 1 x shimano centre tube- 1 x 2.5 mm spacersweight: 68.2gfaqwhat type is shimano xt press fit mtb bottom bracket? the shimano xt press fit mtb bottom bracket is a press-fit type.what width shell is suitable for the shimano xt press fit mtb bottom bracket?the shimano xt press fit mtb bottom bracket is available in 89.5 mm and 92mm shell width standard.what diameter crank diameter is shimano xt press fit mtb bottom bracket compatible with?the shimano xt press fit mtb bottom bracket is compatible with 24 mm crank diameter standard.",29.99,gbp,1
c10,llm_assisted,36,"[""r42"", ""r43"", ""r44"", ""r45"", ""r46"", ""r47"", ""r318"", ""r319"", ""r320"", ""r321"", ""r322"", ""r323"", ""r498"", ""r499"", ""r500"", ""r501"", ""r502"", ""r503"", ""r648"", ""r649"", ""r650"", ""r651"", ""r652"", ""r653"", ""r990"", ""r991"", ""r992"", ""r993"", ""r994"", ""r995"", ""r1152"", ""r1153"", ""r1154"", ""r1155"", ""r1156"", ""r1157""]",jabra biz 2300 duo usb ms lync headset,jabra,"your contact center agents are your brand ambassadors, so give them the tool to sound as clear as your brand. in jabra’s biz™ 2300 world class sound meets world class durability in an exceptionally comfortable and stylish corded headset – keeping both your agents and your customers happy.jabra biz™ 2300 usb microsoft lync duo is a stereo headset that provides usb connectivity optimized for microsoft lync.",149.00,usd,1
c100,llm_assisted,1,"[""r713""]",intel i9 9900 3.1ghz 8 core cpu | discount computer needs,,"view and shop for intel i9 9900 3.1ghz 8 core cpu, cpus processors, and many more products at discount computer needs.",718.95,aud,0
c101,llm_assisted,6,"[""r714"", ""r715"", ""r716"", ""r717"", ""r718"", ""r719""]",pokemon sword & shield rebel clash booster,nintendo,pokémon tcg: sword & shield—rebel clash booster,4.5,eur,1
c102,llm_assisted,1,"[""r725""]",shimano metal disk fren balatası ice-tech j04c,,shimano metal disk fren balatası ice-tech j04cuyumlu modeller:xtr:- br-m9000- br-m9020- br-m987- br-m985xt:- br-m8000- br-m785slx:- br-m675- br-m666deore:- br-m615alfine:- br-s700rennrad:- br-rs785- br-r785,221.00,try,0
c103,llm_assisted,6,"[""r726"", ""r727"", ""r728"", ""r729"", ""r730"", ""r731""]",daniel wellington cornwall classic dw00100150,daniel wellington,"with its distinctive dial and all-black nato strap, the classic black cornwall is a true eye-catcher that embodies the timeless and elegant characteristics of our flagship classic collection. with a sleek design and a captivating essence, this is a modern classic made for every occasion.",239.00,sgd,1
c104,llm_assisted,29,"[""r738"", ""r739"", ""r740"", ""r741"", ""r742"", ""r743"", ""r834"", ""r835"", ""r836"", ""r837"", ""r838"", ""r839"", ""r1404"", ""r1405"", ""r1406"", ""r1408"", ""r1409"", ""r1506"", ""r1507"", ""r1508"", ""r1509"", ""r1510"", ""r1511"", ""r1734"", ""r1735"", ""r1736"", ""r1737"", ""r1738"", ""r1739""]",manfrotto mhxpro-2w xpro fluid head,manfrotto,"the new xpro fluid head is be the best choice for photographers wanting to start shooting videos to expand their creativity. it’s also the best fit for birdwatchers who are using lightweight scopes to observe wildlife and digiscoping through an additional camera and need fluid heads that move constantly.the xpro fluid head is the only lightweight video head with fluidity selector: this makes it possible to switch between hard and soft fluidity according to the preferred speed of tilt movement and to the kind of gear used. its fluid cartridge settings ensure stable videos can be made with any photo lens. its adaptotechnopolymer and aluminum body make the xpro fluid head extremely easy to carry: weighing a mere 0.7 kg and supporting up to 4 kg of payload, it introduces a new design approach that enhances video head transportability.the new mhxpro-2w comes with the manfrotto 200 pl plate, the most widespread photographic plate, which guarantees a quick setup and a quick switch from photo to video.the xpro fluid head is made in italy by manfrotto.",229,aud,1
c105,llm_assisted,6,"[""r750"", ""r751"", ""r752"", ""r753"", ""r754"", ""r755""]",pokemon: sword & shield 3: darkness ablaze: elite trainer box,,"darkness ablaze is the third wave of pokemon sword & shield trading card series.the pokemon darkness ablaze elite trainer box is perfect for experienced and new players and collectors of the pokemon tcg as it contains lots of information on gameplay, new game mechanics as well as lots of booster packs to get your collection going.",42.5,gbp,1
c106,llm_assisted,1,"[""r756""]",formula 1 grey/steel ø43 mm ref. waz2011.ba0842,,,1469,eur,0
